id,title,release_date,developer,genres,price,reviews,percent_positive
42,American Truck Simulator,2016-02-02,SCS Software,Indie;Simulation,57.35,291290,0.89
44,No Man's Sky,2016-08-12,Hello Games,Action;Adventure,111.54,7219,0.9
47,The Forest,2018-04-30,Endnight Games Ltd,Action;Adventure;Indie;Simulation,32.8,38926,0.87
48,Sid Meiers Civilization® VI,2016-10-20,Firaxis Games;Aspyr (Mac);Aspyr (Linux),Strategy,154.94,40313,0.76
49,Persona 5 Royal,2022-10-21,Atlus,"JRPG,",216.38,172841,0.84
51,"Warhammer 40,000: Inquisitor - Martyr",2018-06-05,NeocoreGames,Action;Adventure;Indie;RPG,103.48,319699,0.95
53,Valheim,Early access,Iron Gate Studio,"Survival,Adventure,",32.8,116685,0.94
54,ZERO Sievert,Early access,CABO Studio,"ARPG,Simulation,",54.56,1895,0.77
55,Stellaris,2016-05-09,Paradox Development Studio,Simulation;Strategy,68.14,35032,0.97
56,The Elder Scrolls V: Skyrim Special Edition,2016-10-27,Bethesda Game Studios,RPG,111.54,98333,0.88
58,Evil West,2022-11-22,Flying Wild Hog,"Action,Shooter,",123.94,436416,0.98
60,Marvels Spider-Man Remastered,2022-08-12,Insomniac Games,"Action,Open world,",247.94,43523,0.82
61,The Callisto Protocol,2022-12-02,Striking Distance Studios,"Survival,",154.94,99582,0.87
62,theHunter: Call of the Wild,2017-02-16,Expansive Worlds,Adventure;Simulation;Sports,32.8,42986,0.71
63,SCUM,2018-08-29,Gamepires;Croteam,Action;Adventure;Indie;Massively Multiplayer;Early Access,47.06,3475,0.93
64,Stardew Valley,2016-02-26,ConcernedApe,Indie;RPG;Simulation,29.7,65814,0.75
65,Total War: WARHAMMER III,2022-02-17,Creative Assembly,"RTS,Strategy,TBS,",210.74,13783,0.74
70,Mount & Blade II: Bannerlord,2013-10-09,PolyPusher Studios,"Adventure,",154.94,84863,0.85
71,Hearts of Iron IV,2016-06-06,Paradox Development Studio,Simulation;Strategy,68.14,150321,0.92
72,Terraria,2011-05-16,Re-Logic,Action;Adventure;Indie;RPG,22.88,120982,0.32
73,It Takes Two,2021-03-26,Hazelight,"Action,Platform,Puzzle,",136.34,135602,0.97
74,Deep Rock Galactic,2018-02-28,Ghost Ship Games,Action;Indie;Early Access,43.34,834745,0.97
75,Don't Starve Together,2016-04-21,Klei Entertainment,Adventure;Indie;Simulation,28.46,165209,0.87
76,Battlefield 2042,2021-11-19,DICE,"Shooter,",185.94,4406,0.97
77,Call of Duty®: Black Ops III,2015-11-05,Treyarch;Aspyr (Mac),Action;Adventure,247.94,104960,0.79
79,BeamNG.drive,2015-05-29,BeamNG,Racing;Simulation;Early Access,35.28,32050,0.86
80,Age of Empires IV: Anniversary Edition,2021-10-28,Relic Entertainment,"RTS,",80.54,135129,0.97
83,STAR WARS: The Old Republic,2005-02-08,Obsidian Entertainment,"RPG,",0.0,193874,0.87
84,SMITE®,2015-09-08,Titan Forge Games,Action;Free to Play,0.0,92452,0.95
85,DayZ,2018-12-13,Bohemia Interactive,Action;Adventure;Massively Multiplayer,173.54,55690,0.87
86,Warhammer: Vermintide 2,2018-03-08,Fatshark,Action,61.94,4206,0.9
87,Madden NFL 23,2022-08-19,EA Tiburon,"Sports,",185.94,1564,0.44
88,Guild Wars 2,2012-08-28,ArenaNet,"MMORPG,",0.0,54916,0.92
89,X4: Foundations,2018-11-30,Egosoft,Action;Simulation,123.94,272145,0.73
90,Assetto Corsa,2014-12-19,Kunos Simulazioni,Indie;Racing;Simulation;Sports,32.8,146772,0.96
92,Crusader Kings III,2020-09-01,Paradox Development Studio,"RPG,Strategy,Simulation,",86.74,12285,0.75
94,Sackboy: A Big Adventure,2022-10-27,Sumo Digital,"Platform,",247.94,1522,0.89
97,Bloons TD 6,2018-12-17,Ninja Kiwi,Strategy,27.22,442,0.9
100,Risk of Rain 2,2019-03-28,Hopoo Games,Action;Indie;Early Access,44.58,52700,0.9
102,Garry's Mod,2006-11-29,Facepunch Studios,Indie;Simulation,24.74,76231,0.86
104,Left 4 Dead 2,2009-11-19,Valve,Action,29.76,17300,0.97
105,Against the Storm,Early access,Eremite Games,"Building,Roguelike,",49.54,187993,0.82
106,Fallout 4,2015-11-09,Bethesda Game Studios,RPG,61.94,769580,0.96
107,Cult of the Lamb,2022-08-11,Massive Monster,"Action,RPG,Strategy,",55.74,489559,0.97
108,The Binding of Isaac: Rebirth,2014-11-04,"Nicalis, Inc.",Action,28.46,23210,0.92
111,PAYDAY 2,2013-08-13,OVERKILL - a Starbreeze Studio.,Action;RPG,24.74,695,0.79
119,Total War: WARHAMMER II,2017-09-28,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),Action;Strategy,167.34,79674,0.93
120,SnowRunner,2020-04-28,Saber Interactive,"Vehicle simulator,",74.34,7409,0.72
122,The Witcher® 3: Wild Hunt,2015-05-18,CD PROJEKT RED,RPG,49.6,49754,0.87
123,Conan Exiles,2018-05-08,Funcom,Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy,61.94,13988,0.95
124,Factorio,2016-02-25,Wube Software LTD.,Casual;Indie;Simulation;Strategy;Early Access,62.0,387050,0.89
127,War Robots,2018-04-04,Pixonic,Action;Free to Play,0.0,105617,0.98
128,Squad,2015-12-14,Offworld Industries,Action;Indie;Strategy;Early Access,68.14,13549,0.88
129,Assassin's Creed® Odyssey,2018-10-05,Ubisoft Quebec;Ubisoft Montreal;Ubisoft Bucharest;Ubisoft Singapore;Ubisoft Montpellier;Ubisoft Kiev;Ubisoft Shanghai,Action;Adventure;RPG,185.94,7291,0.96
131,Inside the Backrooms,Early access,MrFatcat,"Survival horror,Exploration,Puzzle,",12.34,546495,0.97
132,Monster Hunter: World,2018-08-09,"CAPCOM Co., Ltd.",Action,154.81,6138,0.79
134,Age of Empires II: Definitive Edition,2019-11-14,Forgotten Empires,"RTS,",32.8,99851,0.94
135,Gotham Knights,2022-10-21,Warner Bros. Games Montreal,"ARPG,",185.94,14905,0.62
136,Beat Saber,2018-05-01,Beat Games,Indie;Early Access,43.34,83661,0.84
138,Construction Simulator,2022-09-20,weltenbauer. Software Entwicklung,"Simulation,",47.06,116432,0.89
139,Destroy All Humans! 2 - Reprobed,2022-08-30,Black Forest Games,"Shooter,",83.64,91290,0.79
142,Arma 3,2013-09-12,Bohemia Interactive,Action;Simulation;Strategy,123.94,49845,0.89
143,Among Us,2018-11-16,Innersloth,Casual,12.34,20622,0.86
145,Halo Infinite,2021-12-08,343 Industries,"Action,FPS,Shooter,",0.0,165542,0.88
146,Coral Island,Early access,Stairway Games,"Life sim,",61.94,185621,0.7
150,Hogwarts Legacy,2023-02-10,Avalanche Software,"Action,RPG,",185.94,157042,0.9
151,VRChat,2017-02-01,VRChat Inc.,Adventure;Casual;Free to Play;Massively Multiplayer;Simulation;Sports;Early Access,0.0,70017,0.94
152,Phantasy Star Online 2 New Genesis,2012-07-04,Sega,"ARPG,Gambling/casino,JRPG,MMORPG,Open world,",0.0,3133,0.81
154,Europa Universalis IV,2013-08-13,Paradox Development Studio,Simulation;Strategy,68.14,306192,0.83
156,Car Mechanic Simulator 2021,2021-08-11,Red Dot Games,"Simulation,",35.28,4222,0.98
157,F1® 22,2022-07-01,Codemasters,"Racing,Simulation,",185.94,190176,0.98
159,Battlefield V,2018-11-20,DICE,"Shooter,",161.14,15842,0.95
161,Brawlhalla,2017-10-17,Blue Mammoth Games,Action;Free to Play;Indie,0.0,3394,0.9
162,Police Simulator: Patrol Officers,Early access,Aesir Interactive,"Simulation,Open world,",43.34,25255,0.85
164,DCS World Steam Edition,2013-08-02,Eagle Dynamics SA,Free to Play;Simulation,0.0,147231,0.94
165,Tropico 6,2019-03-29,Limbic Entertainment,Simulation;Strategy,142.54,54620,0.96
166,Divinity: Original Sin 2 - Definitive Edition,2017-09-14,Larian Studios,Adventure;RPG;Strategy,61.32,6165,0.96
167,Two Point Campus,2022-08-09,Two Point Studios,"Building,Simulation,",154.94,20481,0.72
168,Battlefield 1,2016-10-21,DICE,"Shooter,",154.94,8313,0.85
169,PlateUp!,2022-08-04,It's happening,"Action,Building,Party game,Roguelike,Time management,",30.94,1432,0.83
170,iRacing,2015-01-12,iRacing.com Motorsport Simulations;iRacing,Massively Multiplayer;Racing;Simulation;Sports,22.88,76614,0.86
171,Tiny Tina's Wonderlands,2022-03-25,Gearbox Software,"Shooter,RPG,",204.54,133600,0.95
176,EVE Online,2010-12-15,CCP,Action;Free to Play;Massively Multiplayer;RPG;Strategy,0.0,78842,0.86
177,Dead Cells,2018-08-06,Motion Twin,Action;Indie,39.0,35,0.82
178,Forza Horizon 4,2018-10-02,Playground Games,"Racing,",80.54,566,0.63
179,Hollow Knight,2017-02-24,Team Cherry,Action;Adventure;Indie,29.7,1623,0.88
180,Tom Clancy's Ghost Recon® Wildlands,2017-03-06,Ubisoft Paris;Ubisoft Annecy;Ubisoft Bucharest;Ubisoft Montpellier;Ubisoft Milan;Reflections;Ubisoft Belgrade,Action;Adventure,154.94,14789,0.87
181,Barotrauma,2023-03-13,Undertow Games,"ARPG,Immersive sim,",43.34,33121,0.96
182,Pummel Party,2018-09-20,Rebuilt Games,Action;Casual;Indie,28.46,65350,0.98
183,FOR HONOR,2017-02-13,Ubisoft Montreal;Ubisoft Quebec;Ubisoft Toronto;Blue Byte,Action,46.44,144975,0.89
185,HITMAN 3,2021-01-20,IO Interactive,"Immersive sim,Stealth,",117.06,102623,0.97
186,Subnautica,2018-01-23,Unknown Worlds Entertainment,Adventure;Indie,43.34,230304,0.97
188,Borderlands 3,2019-09-13,Gearbox Software,"Shooter,RPG,",185.38,60099,0.93
191,Cuphead,2017-09-29,Studio MDHR Entertainment Inc.,Action;Indie,35.03,7290,0.8
192,Oxygen Not Included,2017-05-18,Klei Entertainment,Indie;Simulation;Early Access,35.28,29968,0.79
193,Tabletop Simulator,2015-06-05,Berserk Games,Casual;Indie;RPG;Simulation;Strategy,35.03,32226,0.89
194,Total War: WARHAMMER,2016-05-24,CREATIVE ASSEMBLY;Feral Interactive (Linux);Feral Interactive (Mac),Action;Strategy,167.34,109481,0.71
197,House Flipper,2018-05-17,Empyrean,Indie;Simulation,35.28,178902,0.92
198,Space Engineers,2019-02-28,Keen Software House,Action;Indie;Simulation;Strategy,48.92,188864,0.96
200,CarX Drift Racing Online,2017-11-17,CarX Technologies,Massively Multiplayer;Racing;Simulation;Sports,28.46,4681,0.96
201,Assassin's Creed® Origins,2017-10-26,Ubisoft Montreal,Action;Adventure;RPG,216.94,49237,0.95
202,eFootball 2023,2021-09-30,PES Productions,"Sports,",0.0,18297,0.93
203,Dome Keeper,2022-09-27,Bippinbits,"Roguelike,",38.38,10593,0.95
204,Dying Light,2015-01-26,Techland,Action;RPG,55.74,1011,0.97
206,Conqueror's Blade,2019-05-01,Booming Games,Action;Free to Play;Massively Multiplayer;RPG;Strategy,0.0,63518,0.86
207,Albion Online,2018-05-16,Sandbox Interactive GmbH,Free to Play;Massively Multiplayer;RPG,0.0,85862,0.96
208,Pentiment,2022-11-15,Obsidian Entertainment,"Adventure,",80.54,29135,0.74
209,Yu-Gi-Oh! Duel Links,2017-11-16,Konami Digital Entertainment,Free to Play;Strategy,0.0,43534,0.29
210,Path of Exile,2013-10-23,Grinding Gear Games,Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG,0.0,4477,0.91
211,Overcooked! 2,2018-08-07,Ghost Town Games Ltd.;Team17 Digital Ltd,Action;Casual;Indie,35.28,53355,0.79
213,PGA TOUR 2K23,2022-10-14,HB Studios,"Sports,",210.74,38370,0.87
214,Horizon Zero Dawn Complete Edition,2020-08-07,Guerrilla Games,"ARPG,Open world,",204.54,65150,0.76
215,Slay the Spire,2019-01-23,Mega Crit Games,Indie;Strategy,35.28,22342,0.8
216,This War of Mine,2014-11-14,11 bit studios,Adventure;Indie;Simulation,37.08,75310,0.97
217,Core Keeper,Early access,Pugstorm,"Adventure,Sandbox,Survival,",25.98,253516,0.95
218,Inscryption,2021-10-19,Daniel Mullins Games,"Card/tile,Roguelike,Strategy,",43.34,14453,0.94
219,Elite Dangerous,2015-04-02,Frontier Developments,Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy,122.76,103945,0.97
220,Assetto Corsa Competizione,2018-09-12,Kunos Simulazioni,Racing;Simulation;Sports;Early Access,173.54,30879,0.92
223,Terra Invicta,Early access,Pavonis Interactive,"Strategy,",92.94,6560,0.76
228,Green Hell,2018-08-29,Creepy Jar,Indie;Simulation;Early Access,35.28,14500,0.95
230,Total War: THREE KINGDOMS,2019-05-23,Creative Assembly,"RTS,TBS,",167.34,26197,0.81
234,Age of Empires III: Definitive Edition,2020-10-15,Forgotten Empires,"RTS,",32.8,8829,0.85
237,DOOM Eternal,2020-03-20,id Software,"Action,FPS,",111.54,15711,0.91
241,Potionomics,2022-10-17,Voracious Games,"Business,RPG,CCG,",35.28,254516,0.98
242,Human: Fall Flat,2016-07-22,No Brakes Games,Adventure;Indie,32.8,24573,0.68
243,Portal 2,2011-04-18,Valve,Action;Adventure,29.76,39499,0.98
245,CRISIS CORE FINAL FANTASY VII REUNION,2022-12-13,Tose,"ARPG,JRPG,",173.54,39006,0.88
246,Cardfight!! Vanguard Dear Days,2022-11-16,Lancarse,"CCG,Strategy,Visual novel,",173.54,139939,0.91
247,Scorn,2022-10-14,Ebb Software,"Adventure,Survival horror,",58.22,62339,0.94
250,Shadowverse CCG,2016-10-27,"Cygames, Inc.",Free to Play;Strategy,0.0,40033,0.92
251,Devil May Cry 5,2019-03-07,"CAPCOM Co., Ltd.",Action,108.44,262,0.86
253,Foxhole,2017-07-27,Clapfoot,Action;Indie;Massively Multiplayer;RPG;Strategy;Early Access,43.34,69173,0.88
254,DJMAX RESPECT V,2020-03-12,Neowiz,"Music/rhythm,",198.34,27241,0.92
255,DARK SOULS III,2016-04-11,"FromSoftware, Inc.",Action,266.54,79276,0.86
257,The Sims 3,2011-01-27,The Sims Studio,Simulation,74.34,58398,0.84
259,DRAGON BALL XENOVERSE 2,2016-10-27,QLOC;DIMPS,Action;Adventure;Casual;Massively Multiplayer,203.61,3140,0.84
260,Need for Speed Heat,2019-11-08,Ghost Games,"Racing,Open world,",216.94,18196,0.84
261,Insurgency: Sandstorm,2018-12-12,New World Interactive,Action,80.54,133895,0.94
262,Blade and Sorcery,2018-12-11,WarpFrog,Action;Adventure;Indie;RPG;Simulation;Early Access,32.8,34981,0.96
263,ASTRONEER,2019-02-05,System Era Softworks,Adventure;Indie,43.34,16180,0.7
264,Return to Monkey Island,2022-09-19,Terrible Toybox,"Adventure,",55.74,354,0.88
265,Northgard,2018-03-07,Shiro Games,Indie;Simulation;Strategy,43.34,59774,0.84
268,Destroy All Humans!,2020-07-28,Black Forest Games,"Shooter,",70.62,24470,0.84
269,Temtem,2022-09-06,Crema,"MMORPG,",111.6,57039,0.95
270,Grim Dawn,2016-02-25,Crate Entertainment,Action;Adventure;Indie;RPG,35.28,17124,0.78
272,ULTRAKILL,Early access,"Arsi ""Hakita"" Patala","Action,FPS,Shooter,",35.28,1191,0.9
273,Days Gone,2021-05-18,Bend Studio,"Action,Survival horror,Open world,",204.54,831,0.79
274,SIGNALIS,2022-10-27,rose-engine,"Survival horror,",45.82,14828,0.85
275,PowerWash Simulator,2022-07-14,FuturLab,"Simulation,",62.0,4007,0.88
277,Unpacking,2021-11-02,Witch Beam,"Puzzle,",32.8,2729,0.97
278,Cartel Tycoon,2022-07-26,Moon Moose,"Business,",43.34,31398,0.65
281,LEGO® Star Wars: The Skywalker Saga,2022-04-05,TT Games,"Action,Adventure,Open world,",154.94,669,0.87
282,Metro Exodus,2019-02-15,4A Games,"Shooter,Survival horror,",46.44,29372,0.84
284,Back 4 Blood,2021-10-12,Turtle Rock Studios,"Shooter,",185.94,77280,0.97
285,Star Trek Online,2012-01-31,Cryptic Studios,Free to Play;Massively Multiplayer;RPG,0.0,507,0.88
287,Stormworks: Build and Rescue,2018-02-28,Sunfire Software,Simulation;Early Access,35.28,85515,0.91
288,MechWarrior 5: Mercenaries,2019-12-10,Piranha Games,"Vehicle combat,",43.34,51755,0.82
289,Crossout,2017-07-26,Targem Games,Action;Free to Play;Massively Multiplayer;Racing,0.0,23586,0.9
290,Mass Effect Legendary Edition,2021-05-14,BioWare,"ARPG,Shooter,",185.94,1315,0.66
291,Totally Accurate Battle Simulator,2019-04-01,Landfall,Indie;Simulation;Strategy;Early Access,32.8,13399,0.75
294,Mortal Kombat 11,2019-04-23,NetherRealm Studios,"Fighting,",71.24,19698,0.9
296,Outer Wilds,2019-05-30,Mobius Digital,"Adventure,Puzzle,",37.14,46102,0.88
297,Fishing Planet,2017-08-28,Fishing Planet LLC,Free to Play;Massively Multiplayer;Simulation;Sports,0.0,14799,0.92
298,Mafia: Definitive Edition,2020-09-25,Hangar 13,"Action,Open world,Shooter,",136.34,91065,0.98
299,Fallout: New Vegas,2010-10-21,Obsidian Entertainment,Action;RPG,22.88,3664,0.78
300,Total War: ROME II - Emperor Edition,2013-09-02,CREATIVE ASSEMBLY,Strategy,167.34,5153,0.8
301,Crysis 3 Remastered,2021-10-15,Crytek,"Action,FPS,Shooter,",43.96,8298,0.93
302,Little Nightmares II,2021-02-11,Tarsier Studios,"Platform,Puzzle,",74.34,5973,0.93
303,DARK SOULS: REMASTERED,2018-05-23,QLOC,Action,74.34,134268,0.96
304,Governor of Poker 3,2016-02-19,Azerion;YoudaGames,Casual;Free to Play;Massively Multiplayer;Simulation,0.0,42808,0.83
306,DEATH STRANDING DIRECTOR'S CUT,2022-03-30,Kojima Productions,"Open world,Adventure,Action,Racing,",154.94,38363,0.95
307,HUMANKIND,2021-08-17,Amplitude Studios,"4X,Strategy,TBS,",148.74,960,0.69
309,Paladins®,2018-05-08,Evil Mojo Games,Action;Free to Play,0.0,16459,0.67
310,Subnautica: Below Zero,2019-01-30,Unknown Worlds Entertainment,Adventure;Indie;Early Access,92.94,1058,0.83
313,Kenshi,2018-12-06,Lo-Fi Games,Action;Indie;RPG;Simulation;Strategy,43.34,40396,0.85
314,rFactor 2,2015-11-12,Studio 397,Racing;Simulation;Sports,45.2,23823,0.86
316,STAR OCEAN THE DIVINE FORCE,2022-10-27,tri-Ace,"JRPG,",185.94,177617,0.95
317,Lost Judgment,2022-09-14,Ryu Ga Gotoku Studio,"Action,Brawler,Mini-games,Open world,",216.94,29269,0.93
322,TRIANGLE STRATEGY,2022-10-13,Artdink,"Tactical RPG,",185.94,1005,0.97
323,Frostpunk,2018-04-24,11 bit studios,Simulation;Strategy,58.9,8820,0.94
325,ACE COMBAT 7: SKIES UNKNOWN,2019-01-31,BANDAI NAMCO Studios,Action;Simulation,154.94,36443,0.9
326,Crysis 2 Remastered,2021-10-15,Crytek,"Action,FPS,Shooter,",43.96,653,0.85
327,Gloomhaven,2021-10-20,Flaming Fowl Studios,"Board,Tactical RPG,",61.94,920,0.5
328,Borderlands 2,2012-09-20,Gearbox Software;Aspyr (Mac);Aspyr (Linux),Action;RPG,61.94,118279,0.8
330,Way of the Hunter,2022-08-16,Nine Rocks Games,"Hunting,Open world,",83.64,678,0.91
332,Call of Duty®: Black Ops II,2012-11-12,Treyarch,Action,247.94,15853,0.96
333,Resident Evil 4,2007-03-01,Capcom,"Survival horror,Action,Shooter,",223.14,52311,0.95
334,Call of Duty®: Black Ops,2010-11-08,Treyarch,Action,155.0,1906,0.6
335,TEKKEN 7,2017-06-01,BANDAI NAMCO Studios Inc.,Action;Sports,61.32,12061,0.92
337,DiRT Rally 2.0,2019-02-25,Codemasters,Racing;Simulation;Sports,35.28,34080,0.82
338,Golf With Your Friends,2016-01-29,Blacklight Interactive,Casual;Indie;Sports;Early Access,70.0,70138,0.91
340,Metal: Hellsinger,2022-09-15,The Outsiders,"Music/rhythm,FPS,",74.34,9960,0.86
341,PlanetSide 2,2012-11-20,Daybreak Game Company,Action;Free to Play;Massively Multiplayer,0.0,37065,0.61
343,Resident Evil 3,2020-04-03,Capcom,"Action,Survival horror,",145.02,1335,0.77
344,Kerbal Space Program,2015-04-27,Squad,Indie;Simulation,52.64,53435,0.81
345,DRAGON BALL: THE BREAKERS,2022-10-14,Dimps,"Survival,",49.54,2472,0.63
347,Trove,2015-07-09,Trion Worlds,Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG,0.0,9456,0.91
348,Kingdom Come: Deliverance,2018-02-13,Warhorse Studios,Action;Adventure;RPG,43.34,5699,0.79
351,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,2021-10-15,CyberConnect2,"Fighting,",235.54,133,0.81
352,GROUND BRANCH,2018-08-14,BlackFoot Studios,Action;Indie;Early Access,43.34,88345,0.94
353,Land of the Vikings,Early access,Laps Games,"Building,",32.8,979,0.9
354,Prison Architect,2015-10-06,Introversion Software,Indie;Simulation;Strategy,43.34,59131,0.89
357,Yakuza: Like a Dragon,2020-11-10,Ryu Ga Gotoku Studio,"Action,JRPG,Mini-games,Open world,",154.94,3175,0.51
361,Far Cry® 5,2018-03-26,Ubisoft Montreal;Red Storm;Ubisoft Shanghai;Ubisoft Toronto;Ubisoft Kiev,Action;Adventure,185.94,21666,0.91
363,Idle Champions of the Forgotten Realms,2017-09-07,Codename Entertainment Inc.,Action;Adventure;Free to Play;Indie;Strategy;Early Access,0.0,22387,0.88
364,NieR:Automata,2017-03-17,Square Enix;PlatinumGames Inc.,Action;RPG,82.46,4603,0.68
365,Planet Coaster,2016-11-17,Frontier Developments,Simulation;Strategy,184.14,12296,0.88
366,The Long Dark,2017-08-01,Hinterland Studio Inc.,Adventure;Indie;Simulation;Strategy,47.06,72982,0.89
367,PICO PARK,2016-04-27,TECOPARK,Action;Casual,12.34,87432,0.89
368,Dune: Spice Wars,Early access,Shiro Games,"4X,RTS,Strategy,",61.94,7395,0.91
369,Russian Fishing 4,2018-06-15,Russian Fishing,Adventure;Casual;Free to Play;Massively Multiplayer;RPG;Simulation;Sports;Early Access,0.0,88448,0.8
370,"Warhammer 40,000: Chaos Gate - Daemonhunters",2022-05-05,Complex Games,"Tactical RPG,",112.78,51597,0.9
371,Middle-earth: Shadow of War,2017-10-09,Monolith Productions,Action;Adventure;RPG,59.46,363,0.83
373,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,2016-02-04,CyberConnect2 Co. Ltd.,Action;Adventure,124.0,65928,0.96
374,Persona 4 Golden,2020-06-13,Atlus,"JRPG,",64.42,102972,0.91
375,Assassin's Creed® Unity,2014-12-19,Ubisoft,Action;Adventure,92.94,2184,0.95
376,STAR WARS Jedi: Fallen Order,2019-11-15,Respawn Entertainment,"Action,Metroidvania,",136.34,27532,0.77
377,Nioh 2  The Complete Edition,2021-02-05,Team Ninja,"Action,RPG,",154.94,40370,0.9
378,The Isle,2015-12-01,Afterthought LLC,Action;Adventure;Indie;Massively Multiplayer;Simulation;Early Access,35.03,43423,0.94
380,The Riftbreaker,2021-10-14,EXOR Studios,"Hack and slash,Strategy,",46.44,27991,0.93
381,Romancing SaGa -Minstrel Song- Remastered,2022-12-01,Bullets,"JRPG,",74.4,32234,0.94
382,Killing Floor 2,2016-11-18,Tripwire Interactive,Action,45.2,11487,0.79
384,STAR WARS Battlefront II,2005-10-31,Pandemic Studios,"Action,FPS,Shooter,",154.94,13011,0.92
385,Sid Meier's Civilization® V,2010-09-23,Firaxis Games;Aspyr (Mac);Aspyr (Linux),Strategy,92.94,6875,0.91
386,Darkest Dungeon®,2016-01-19,Red Hook Studios,Indie;RPG;Strategy,38.38,5555,0.91
388,DRAGON BALL FighterZ,2018-01-26,Arc System Works,Action,216.94,963,0.84
389,Batman: Arkham Knight,2015-06-23,Rocksteady Studios,Action;Adventure,83.64,17356,0.95
392,Minecraft Dungeons,2020-05-26,Mojang,"ARPG,Hack and slash,",68.14,57535,0.9
393,Company of Heroes 2,2013-06-25,Relic Entertainment;Feral Interactive (Mac);Feral Interactive (Linux),Strategy,35.03,37613,0.86
394,The Outer Worlds,2019-10-25,Obsidian Entertainment,"Action,Adventure,Exploration,FPS,RPG,Shooter,",185.38,67595,0.7
398,Titanfall® 2,2016-10-28,Respawn Entertainment,"Shooter,Vehicle combat,",92.94,23092,0.88
399,Pavlov VR,2017-02-27,davevillz,Violent;Gore;Action;Indie;Early Access,35.28,81761,0.92
402,Peglin,Early access,Red Nexus Games,"RPG,Roguelike,",32.8,11560,0.91
